id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,AGGH,,,https://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
66,AYNZ,large_airport,Nadzab Tomodachi International Airport,-6.567995,146.726544,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,AYNZ,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,AYPY,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,
114,BGGH,large_airport,Nuuk International Airport,64.191066,-51.67914,283,NA,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH,,https://www.airports.gl/en/airport/nuuk/,https://en.wikipedia.org/wiki/Nuuk_Airport,"Godthåb, Nuussuaq, Mittarfik Nuuk, Nuuk International"
115,BGSF,large_airport,Kangerlussuaq International Airport,67.010446,-50.715294,165,NA,GL,GL-QA,Kangerlussuaq,yes,BGSF,SFJ,BGSF,,,https://en.wikipedia.org/wiki/Kangerlussuaq_Airport,"Bluie West 8, Sondrestrom Air Base, Sondrestromfjord Air Base"
116,BGTL,large_airport,Pituffik Space Base,76.53063,-68.700541,251,NA,GL,GL-AV,Pituffik,yes,BGTL,THU,BGTL,,,https://en.wikipedia.org/wiki/Pituffik_Space_Base,Thule Air Base
117,BIAR,large_airport,Akureyri International Airport,65.656573,-18.072018,6,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,,https://www.innanlandsflugvellir.is/en/akureyri-airport/,https://en.wikipedia.org/wiki/Akureyri_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station, REK"
4614,BKPR,large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
1717,CYEG,large_airport,Edmonton International Airport,53.3097,-113.580002,2373,NA,CA,CA-AB,Edmonton,yes,CYEG,YEG,CYEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477,NA,CA,CA-NS,Halifax,yes,CYHZ,YHZ,CYHZ,,http://www.hiaa.ca/,https://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1808,CYLW,large_airport,Kelowna International Airport,49.9561,-119.377998,1421,NA,CA,CA-BC,Kelowna,yes,CYLW,YLW,CYLW,,http://www.kelowna.ca/CM/Page68.aspx,https://en.wikipedia.org/wiki/Kelowna_International_Airport,"Kelowna, Okanagan"
